player_id,first_name,last_name,birthdate_year,birth_date,homeprov,homecntry,OA
28181,Dru,Krebs,2003,2003-02-16,AB,,0
28952,Hunter,St. Martin,2005,2005-06-13,AB,,0
28392,Brayden,Boehm,2004,2004-01-15,BC,,0
28820,Shane,Smith,2005,2005-01-14,AB,,0
29091,Cru,Hanas,2005,2005-04-23,TX,USA,0
28212,Dallon,Melin,2002,2002-03-26,AB,,0
28946,Josh,Van Mulligen,2005,2005-07-26,AB,,0
28118,Kurtis,Smythe,2002,2002-05-03,BC,,0
29074,Tomas,Mrsic,2006,2006-02-26,BC,,0
28948,Bogdans,Hodass,2003,2003-04-13,,Latvia,0
29094,Cayden,Lindstrom,2006,2006-02-03,BC,,0
28080,Owen,MacNeil,2003,2003-05-31,AB,,0
28961,Zach,Zahara,2005,2005-03-21,AB,,0
28752,Evan,May,2004,2004-07-02,BC,Canada,0
29115,Ethan,McCallum,2006,2006-04-11,MB,,0
28949,Andrew,Basha,2005,2005-11-08,AB,,0
28749,Beckett,Langkow,2003,2003-08-19,AB,,0
28284,Brendan,Lee,2002,2002-02-05,WA,United States,0
29192,Gavin,McKenna,2007,2007-12-20,YT,,0
29090,Brady,Ness,2006,2006-06-18,AB,Canada,0
28085,Lucas,Brenton,2003,2003-04-23,MB,Canada,0
29089,Marek,Howell,2006,2006-05-19,AB,Canada,0
28296,Denton,Mateychuk,2004,2004-07-12,MB,Canada,0
28884,Robert,Baco,2003,2003-02-05,,Slovakia,0
28094,Eric,Alarie,2003,2003-01-27,MB,Canada,0
29226,Connor,Schmidt,2007,2007-03-20,AB,Canada,0
28899,Harper,Lolacher,2005,2005-01-30,SK,Canada,0
29127,Cosmo,Wilson,2005,2005-01-09,BC,Canada,0
27909,Logan,Dowhaniuk,2002,2002-06-20,AB,,0
28893,Ben,Riche,2005,2005-03-15,SK,Canada,0
28303,Maximus,Wanner,2003,2003-03-12,SK,Canada,0
29121,Lynden,Lakovic,2006,2006-12-12,BC,Canada,0
28777,Riley,Niven,2003,2003-03-19,SK,Canada,0
28885,Martin,Rysavy,2003,2003-03-06,,Czech Republic,0
29228,Ethan,Hughes,2006,2006-10-08,AB,Canada,0
28302,Atley,Calvert,2003,2003-09-17,SK,Canada,0
29333,Samuel,Borschowa,2005,2005-01-21,SK,Canada,0
28299,Jagger,Firkus,2004,2004-04-29,AB,Canada,0
28780,Brayden,Yager,2005,2005-01-03,SK,Canada,0
28812,Jackson,Unger,2005,2005-01-13,AB,Canada,0
28228,Connor,Ungar,2002,2002-01-12,AB,Canada,0
29231,Owen,Berge,2006,2006-05-02,AB,Canada,0
27888,Ryder,Korczak,2002,2002-09-23,SK,Canada,0
28898,Matthew,Gallant,2004,2004-01-16,BC,Canada,0
28897,Tate,Schofer,2004,2004-04-13,SK,Canada,0
28295,Josh,Hoekstra,2003,2003-02-19,AB,Canada,0
28847,Josh,Mori,2004,2004-03-27,BC,,0
28762,Ryan,McCleary,2003,2003-09-09,SK,,0
29324,Braeden,Jockims,2005,2005-05-22,SK,,0
28761,Aidan,Litke,2003,2003-03-16,MB,,0
28114,Robbie,Fromm-Delorme,2002,2002-03-02,BC,,0
29029,Cole,Cairns,2006,2006-06-01,MB,,0
28317,James,Stefan,2003,2003-08-09,CA,,0
28848,Rhett,Ravndahl,2005,2005-02-26,SK,,0
28117,Gabe,Klassen,2003,2003-06-30,SK,,0
29254,Carsyn,Dyck,2006,2006-04-13,SK,,0
29253,Kyle,McDonough,2007,2007-02-16,AB,,0
28318,Kyle,Chyzowski,2004,2004-08-16,BC,,0
28850,Aiden,Sotas,2005,2005-08-26,MB,,0
29255,Ryan,Miller,2007,2007-05-03,AB,,0
28846,Marek,Alscher,2004,2004-04-07,Czechia,,0
28851,Josh,Zakreski,2005,2005-12-17,SK,,0
29256,Hudson,Darby,2006,2006-12-01,SK,,0
29259,Jan,Špunar,2004,2004-05-30,Czechia,,0
28324,Ryder,Thompson,2004,2004-06-18,MB,,0
29326,Chaz,Lucius,2003,2003-05-02,KS,,0
28849,Carter,Sotheran,2005,2005-06-26,MB,,0
28763,Marcus,Nguyen,2004,2004-08-02,AB,,0
28760,Luca,Cagnoni,2004,2004-12-21,BC,,0
27998,Dante,Giannuzzi,2002,2002-09-03,MB,,0
28815,Luke,Schelter,2004,2004-04-06,CO,,0
29006,Diego,Buttazzoni,2006,2006-01-13,BC,,0
29258,Alex,Thompson,2006,2006-01-16,MB,,0
28323,Jack,O'Brien,2003,2003-05-14,CO,,0
29099,Nicholas,Johnson,2005,2005-01-20,AB,,0
28320,Jonah,Bevington,2003,2003-09-07,NT,,0
28481,Reid,MacKay,2004,2004-02-04,AB,Canada,0
28917,Bauer,Dumanski,2005,2005-01-05,SK,,0
28921,Ephram,McNutt,2005,2005-05-04,AB,,0
28411,Ethan,Samson,2003,2003-08-23,BC,,0
28402,Ross,Stanley,2004,2004-01-06,AB,,0
28919,Viliam,Kmec,2004,2004-01-02,,SVK,0
28922,Caden,Brown,2005,2005-03-22,BC,,0
28856,Arjun,Bawa,2005,2005-05-10,BC,Canada,0
29105,Hunter,Laing,2006,2006-05-16,BC,,0
28794,Hudson,Thornton,2003,2003-11-04,MB,,0
28489,Koehn,Ziemmer,2004,2004-12-08,AB,,0
28393,Cayden,Glover,2004,2004-01-11,MB,,0
29063,Gavin,Schmidt,2004,2004-02-26,AB,,0
28218,Zac,Funk,2003,2003-07-20,BC,,0
27844,Cole,Dubinsky,2002,2002-12-04,AB,,0
28809,Carlin,Dezainde,2004,2004-12-29,AB,,0
28413,Fischer,O'Brien,2003,2003-03-01,BC,,0
29267,Ondrej,Becher,2004,2004-02-22,,CZE,0
28387,Jaxsen,Wiebe,2002,2002-05-16,SK,,0
28488,Keaton,Dowhaniuk,2004,2004-02-08,AB,,0
28798,Riley,Heidt,2005,2005-03-25,SK,,0
28417,Blake,Eastman,2003,2003-05-05,AB,,0
28420,Chase,Wheatcroft,2002,2002-05-28,AB,,0
28124,Tyler,Brennan,2003,2003-09-27,MB,,0
29272,Terik,Parascak,2006,2006-05-28,AB,,0
28792,Ty,Young,2004,2004-09-11,AB,,0
29126,Madden,Mulawka,2006,2006-03-08,AB,,0
29273,Leith,Hunter,2007,2007-04-03,BC,,0
28069,Marek,Schneider,2003,2003-02-05,SK,,0
28384,Christoffer,Sedoff,2002,2002-02-20,,FIN,0
28390,Hunter,Mayo,2004,2004-05-07,SK,,0
28717,Matteo,Fabrizi,2005,2005-03-23,AB,Canada,0
28388,Jace,Weir,2004,2004-05-21,BC,,0
28126,Jayden,Grubbe,2003,2003-01-12,AB,,0
29098,Frantisek,Formanek,2004,2004-05-06,,Czechia,0
28170,Craig,Armstrong,2003,2003-06-05,AB,,0
28768,Kalan,Lind,2005,2005-01-25,SK,,0
27792,Ben,King,2002,2002-05-15,BC,,0
29238,Carson,Birnie,2005,2005-02-22,,,0
28924,Ryker,Singer,2005,2005-04-19,SK,,0
29009,Ollie,Josephson,2006,2006-07-22,,,0
28128,Jace,Isley,2002,2002-07-14,AB,,0
28148,Kai,Uchacz,2003,2003-06-24,AB,Canada,0
28876,Dwayne,Jean Jr.,2004,2004-04-08,AB,Canada,0
28449,Jhett,Larson,2004,2004-02-03,SK,,0
29257,Nicholas,Andrusiak,2004,2004-06-15,SK,,0
28857,Talon,Brigley,2005,2005-02-16,AB,Canada,0
28280,Mats,Lindgren,2004,2004-08-26,BC,,0
29246,Quentin,Bourne,2006,2006-03-04,,USA,0
28487,Chase,Coward,2003,2003-01-19,,,0
28305,Kyle,Kelsey,2004,2004-01-22,BC,Canada,0
28830,Omen,Harmacy,2005,2005-04-29,MB,,0
27821,Luke,Bateman,2002,2002-09-19,BC,Canada,0
29248,Kolten,Bridgeman,2006,2006-10-28,SK,,0
28873,Carter,Herman,2005,2005-04-01,SK,,0
28075,Riley,Ginnell,2002,2002-10-09,AB,,0
28971,Stanislav,Svozil,2003,2003-01-17,,CZE,0
28137,Zack,Stringer,2003,2003-04-10,AB,,0
28281,Tye,Spencer,2004,2004-06-27,SK,,0
28238,Steel,Quiring,2003,2003-01-15,BC,,0
28294,Zane,Rowan,2004,2004-05-27,CA,,0
28860,Borya,Valis,2004,2004-04-08,CO,,0
29217,Cole,Temple,2007,2007-03-20,MB,,0
27848,Tanner,Brown,2002,2002-10-24,BC,,0
28883,Kelton,Pyne,2005,2005-09-03,SK,,0
28109,Drew,Sim,2003,2003-02-20,AB,,0
28521,Matteo,Michels,2005,2005-06-29,TX,,0
28120,Lochlan,Gordon,2003,2003-03-26,AB,,0
28861,Brayden,Barnett,2004,2004-08-05,SK,,0
28290,Parker,Berge,2003,2003-01-13,AB,,0
29087,Corbin,Vaughan,2006,2006-01-10,BC,CAN,0
28923,Zackary,Shantz,2005,2005-09-09,AB,,0
28816,Tanner,Howe,2005,2005-11-28,SK,,0
28293,Layton,Feist,2004,2004-01-26,BC,,0
29086,Jaxsin,Vaughan,2006,2006-01-10,BC,CAN,0
28750,Braxton,Whitehead,2004,2004-06-09,AK,USA,0
28776,Sam,Oremba,2005,2005-01-19,SK,Canada,0
29215,Alexander,Suzdalev,2004,2004-03-05,RUS,,0
28747,Connor,Bedard,2005,2005-07-17,BC,,0
28731,Ben,Saunderson,2004,2004-09-26,MB,,0
28383,Blake,Gustafson,2002,2002-05-21,AB,Canada,0
27869,Aidan,De La Gorgendiere,2002,2002-02-22,BC,,0
28354,Brandon,Lisowsky,2004,2004-04-13,BC,,0
28357,Jayden,Wiens,2003,2003-07-18,SK,,0
29160,Hudson,Kibblewhite,2007,2007-04-07,BC,Canada,0
28895,Misha,Volotovskii,2005,2005-06-23,AB,,0
28452,Vaughn,Watterodt,2004,2004-02-13,SK,,0
28900,Egor,Sidorov,2004,2004-06-18,,Belarus,0
28901,Tyler,Parr,2005,2005-01-30,MB,,0
28894,Rowan,Calvert,2005,2005-09-01,SK,Canada,0
28718,Tanner,Molendyk,2005,2005-02-03,BC,,0
28355,Spencer,Shugrue,2003,2003-07-09,BC,,0
28733,Lukas,Hansen,2005,2005-02-22,MB,,0
28903,Jordan,Keller,2005,2005-03-08,BC,Canada,0
28734,Austin,Elliott,2004,2004-05-14,AB,,0
28352,Ethan,Chadwick,2004,2004-01-27,SK,,0
28144,Conner,Roulette,2003,2003-05-13,MB,Canada,0
28998,Evan,Gardner,2006,2006-06-25,BC,,0
29096,Zach,Moore,2006,2006-06-07,SK,,0
28222,Trevor,Wong,2003,2003-05-04,BC,,0
28310,Justin,Lies,2003,2003-11-24,MB,,0
29164,Tomas,Zizka,2005,2005-05-28,,CZE,0
29122,Smyth,Rebman,2006,2006-01-20,BC,,0
28068,Charlie,Wright,2003,2003-10-22,AB,,0
29165,Fraser,Leonard,2006,2006-06-22,AB,Canada,0
29261,Morgan,Tastad,2006,2006-01-10,SK,Canada,0
28206,Jake,Chiasson,2003,2003-05-25,BC,,0
27851,Josh,Pillar,2002,2002-02-14,SK,,0
28906,Tait,Humphries,2005,2005-04-29,BC,,0
29232,Spencer,Michnik,2006,2006-10-07,AB,Canada,0
28090,Nolan,Allan,2003,2003-04-28,SK,Canada,0
28736,Jeremy,Hanzel,2003,2003-02-27,BC,Canada,0
28980,Hyde,Davidson,2006,2006-01-23,AB,Canada,0
27891,Luke,Prokop,2002,2002-05-06,AB,,0
28335,Jordan,Gustafson,2004,2004-01-20,AB,Canada,0
29125,Bryce,Pickford,2006,2006-04-02,AB,Canada,0
28872,Coster,Dunn,2005,2005-09-13,AB,Canada,0
29325,Brad,Lambert,2003,2003-12-19,,Finland,0
28350,Kevin,Korchinski,2004,2004-06-21,SK,Canada,0
28346,Mekai,Sanders,2003,2003-05-08,WA,USA,0
29008,Tij,Iginla,2006,2006-08-04,BC,Canada,0
28336,Sam,Popowich,2003,2003-05-21,AB,Canada,0
28334,Reid,Schaefer,2003,2003-09-21,AB,Canada,0
28469,Nico,Myatovic,2004,2004-12-01,BC,Canada,0
29321,Ashton,McNelly,2003,2003-06-02,AB,Canada,0
28149,Jared,Davidson,2002,2002-07-07,AB,Canada,0
28813,Scott,Ratzlaff,2005,2005-03-09,AB,Canada,0
28066,Colton,Dach,2003,2003-01-04,AB,,0
28351,Thomas,Milic,2003,2003-04-14,BC,Canada,0
28705,Sawyer,Mynio,2005,2005-04-30,BC,Canada,0
28145,Lucas,Ciona,2003,2003-01-08,AB,Canada,0
29134,Gracyn,Sawchyn,2005,2005-01-19,AB,Canada,0
27852,Kyle,Crnkovic,2002,2002-02-10,AB,Canada,0
28192,Dylan,Guenther,2003,2003-04-10,AB,,0
29138,Braeden,Cootes,2007,2007-02-09,AB,Canada,0
28880,Tomas,Suchanek,2003,2003-04-30,,Czechia,0
28523,Lukas,Dragicevic,2005,2005-04-25,BC,Canada,0
28766,Ethan,Peters,2003,2003-04-22,SK,,0
29266,Jackson,Romeril,2005,2005-01-18,AB,,0
29020,Merrek,Arpin,2006,2006-05-31,AB,Canada,0
29287,Jackson,Smith,2007,2007-05-13,AB,Canada,0
28875,Drew,Freer,2005,2005-01-26,AB,Canada,0
28882,Andrew,Fan,2004,2004-06-30,AK,United States,0
29282,Nick,Anisimovicz,2006,2006-08-31,AB,Canada,0
29016,Jordan,Gavin,2006,2006-11-13,BC,Canada,0
28326,Jake,Sloan,2004,2004-02-13,AB,Canada,0
29283,Cash,Koch,2007,2007-03-31,AB,Canada,0
28311,Nicco,Camazzola,2003,2003-03-18,BC,,0
28527,Carter,Savage,2005,2005-02-05,BC,Canada,0
28053,Parker,Bell,2003,2003-09-26,BC,Canada,0
28329,Tyson,Greenway,2003,2003-01-15,AB,Canada,0
28534,Deagan,McMillan,2005,2005-01-21,BC,Canada,0
28076,Marc,Lajoie,2003,2003-05-21,AB,Canada,0
27980,Reese,Belton,2002,2002-04-09,MB,Canada,0
29285,Adam,Mechura,2003,2003-01-31,,Czechia,0
28198,Jalen,Luypen,2002,2002-06-28,BC,Canada,0
28881,Nick,Avakyan,2004,2004-02-18,CA,United States,0
28745,Alex,Serraglio,2003,2003-02-10,BC ,Canada,0
28002,Ethan,Ernst,2002,2002-01-26,SK,Canada,0
28490,Chase,Friedt-Mohr,2003,2003-08-21,SK,Canada,0
29286,Camerin,Cardona,2006,2006-01-01,CA,United States,0
28423,Jared,Picklyk,2003,2003-03-18,BC,,0
28878,Elouann,Lemonnier,2004,2004-07-10,TX,United States,0
29336,Landon,Young,2006,2006-04-27,AB,Canada,0
28159,Ben,Zloty,2002,2002-02-24,AB,,0
28831,Ashton,Cumby,2005,2005-07-19,AB,Canada,0
28156,Carson,Lambos,2003,2003-01-14,MB,,0
29025,Jonas,Woo,2006,2006-11-19,MB,Canada,0
28706,Zach,Benson,2005,2005-05-12,BC,,0
28827,Evan,Friesen,2004,2004-08-24,MB,Canada,0
28484,Briley,Wood,2003,2003-01-15,MB,,0
28968,Vladislav,Shilo,2003,2003-03-14,,Belarus,0
28158,Owen,Pederson,2002,2002-03-27,AB,,0
28106,Zack,Ostapchuk,2003,2003-05-29,AB,,0
28963,Wyatt,Wilson,2003,2003-10-11,SK,,0
28194,Carson,Latimer,2003,2003-01-10,BC,,0
29145,Miles,Cooper,2006,2006-08-04,AB,,0
28828,Ty,Fraser,2005,2005-04-28,AB,Canada,0
28385,Josh,Medernach,2003,2003-02-02,AB,,0
28251,Conor,Geekie,2004,2004-05-05,MB,,0
28494,Easton,Armstrong,2003,2003-01-24,CA,USA,0
28373,Mason,Beaupit,2003,2003-09-23,BC,,0
28256,Daniel,Hauser,2004,2004-01-29,AB,,0
28410,Ty,Nash,2003,2003-05-22,AZ,USA,0
28082,Graham,Sward,2003,2003-09-12,BC,,0
28155,Karter,Prosofsky,2003,2003-09-20,SK,,0
28250,Matthew,Savoie,2004,2004-01-01,AB,,0
27942,Connor,McClennon,2002,2002-06-25,AB,,0
29079,Matthew,Hutchison,2006,2006-10-07,BC,,0
29237,Colton,Alain,2007,2007-05-10,BC,,0
28328,Carson,Haynes,2003,2003-01-30,AB,Canada,0
29080,Colton,Roberts,2006,2006-06-08,BC,,0
28907,Ty,Halaburda,2005,2005-04-22,BC,,0
28216,Ty,Thorpe,2002,2002-01-27,MB,,0
28157,Skyler,Bruce,2003,2003-01-23,MB,,0
29144,Connor,Dale,2005,2005-01-29,AB,Canada,0
28908,Damian,Palmieri,2004,2004-01-28,BC,,0
28532,Ethan,Semeniuk,2005,2005-04-21,BC,,0
28909,Jaden,Lipinski,2004,2004-12-02,AZ,USA,0
29302,Will,Subject,2005,2005-05-10,MN,USA,0
29132,Matthew,Edwards,2005,2005-05-07,SK,,0
28801,Colton,Langkow,2004,2004-02-16,AZ,USA,0
29239,Jakob,Oreskovic,2007,2007-01-10,BC,,0
27922,Dylan,Anderson,2002,2002-10-23,BC,Canada,0
28549,Tyler,Thorpe,2005,2005-08-11,BC,,0
28915,Kyle,Bochek,2003,2003-03-20,SK,,0
29081,Justin,Ivanusec,2006,2006-01-24,BC,,0
28797,Kyren,Gronick,2004,2004-02-27,SK,,0
28432,Julian,Cull,2004,2004-02-06,BC,,0
29242,Samuel,Honzek,2004,2004-11-12,SVK,,0
28910,Jesper,Vikman,2002,2002-03-11,SWE,,0
28297,Brett,Mirwald,2003,2003-09-13,SK,Canada,0
28067,Sammy,May,2003,2003-04-10,BC,,0
29290,Burke,Hood,2007,2007-04-30,MB,,0
29240,Ethan,McEneany,2006,2006-06-18,WA,USA,0
29235,Cameron,Schmidt,2007,2007-01-19,BC,,0
28803,Mazden,Leslie,2005,2005-04-15,AB,,0
28312,Brenden,Pentecost,2003,2003-04-02,BC,,0
29004,Cameron,Sytsma,2006,2006-01-09,BC,,0
28866,Dexter,Whittle,2004,2004-08-24,MB,Canada,0
28867,Eric,Jamieson,2005,2005-07-15,AB,Canada,0
28115,Ty,Gibson,2003,2003-06-21,BC,Canada,0
29193,Ethan,Makokis,2007,2007-04-09,AB,,0
28756,Ben,Hemmerling,2004,2004-04-21,AB,Canada,0
28773,Beau,Courtney,2004,2004-01-12,CO,United States,0
29026,Carter,Bear,2006,2006-11-04,MB,,0
29070,Cade,Zaplitny,2004,2004-08-23,MB,Canada,0
28863,Roan,Woodward,2005,2005-09-03,SK,Canada,0
28757,Austin,Roest,2004,2004-01-22,BC,Canada,0
29189,Dominik,Rymon,2004,2004-05-29,,CZE,0
28113,Jackson,Berezowski,2002,2002-02-12,SK,Canada,0
27967,Raphael,Pelletier,2002,2002-03-20,AB,,0
29194,Julien,Maze,2007,2007-12-07,AB,,0
29190,Matthew,Paszkiewicz,2005,2005-08-13,AB,,0
28748,Oren,Shtrom,2004,2004-09-28,AZ,USA,0
29077,Jesse,Heslop,2006,2006-04-18,BC,Canada,0
29078,Tarin,Smith,2006,2006-03-24,SK,Canada,0
29197,Andrew,Petruk,2005,2005-06-08,BC,,0
28525,Niko,Tsakumis,2005,2005-07-05,BC,Canada,0
28864,Vincent,Lamanna,2003,2003-05-17,AB,Canada,0
28956,Tyler,Palmer,2003,2003-06-27,BC,,0
29191,Tim,Metzger,2005,2005-03-17,,SUI,0
28286,Aidan,Sutter,2002,2002-10-27,BC,Canada,0
28687,Kaden,Hammell,2005,2005-03-12,BC,,0
28862,Kyan,Grouette,2005,2005-01-07,MB,Canada,0
28868,Logan,Greenough,2005,2005-02-02,AB,Canada,0
29338,Lukas,Kaplan,2007,2007-06-30,AB,,0
29260,Donavan,Bodnar,2005,2005-11-22,MB,,0
29341,Corbin,Sanderman,2007,2007-02-02,AB,,0
